"Prebivalci glede na aktivnost, po spolu in kohezijskih regijah (v 1000), Slovenija, èetrtletno"

"KOHEZIJSKA REGIJA";"PREBIVALSTVO";"SPOL";"2008Q1";"2009Q1";"2010Q1";"2011Q1";"2012Q1";"2013Q1";"2014Q1";"2015Q1";"2016Q1";"2017Q1";"2018Q1"
"Vzhodna Slovenija";"....Delovno aktivni";"Moški";283;273;275;263;257;252;254;259;254;270;272
"Vzhodna Slovenija";"......Zaposleni - SKUPAJ";"Moški";233;225;222;211;200;205;199;211;211;224;221
"Vzhodna Slovenija";"........V delovnem razmerju";"Moški";227;221;215;205;196;199;193;205;205;217;215
"Vzhodna Slovenija";"........Delo prek študentskega servisa";"Moški";5;3;5;4;3;3;3;3;4;5;3
"Vzhodna Slovenija";"........Druge oblike dela";"Moški";1;1;3;2;2;3;3;3;3;3;3
"Vzhodna Slovenija";"......Samozaposleni";"Moški";38;36;43;40;45;36;44;38;36;39;41
"Vzhodna Slovenija";"......Pomagajoèi družinski èlani";"Moški";12;11;10;12;12;11;12;9;7;6;10
"Vzhodna Slovenija";"....Brezposelni - SKUPAJ";"Moški";16;16;22;29;28;35;31;30;26;21;17
"Vzhodna Slovenija";"......Manj kot eno leto";"Moški";8;10;12;15;14;16;14;15;13;9;7
"Vzhodna Slovenija";"......Veè kot eno leto";"Moški";8;7;10;13;13;19;17;15;13;11;10
"Vzhodna Slovenija";"....Neaktivni";"Moški";164;171;166;170;177;173;175;176;184;174;175
"Vzhodna Slovenija";"......Ki želijo delati, vendar dela ne išèejo";"Moški";11;14;15;11;15;13;19;18;12;11;14
"Vzhodna Slovenija";"......Ki išèejo delo, vendar ga niso pripravljeni sprejeti v dveh tednih";"Moški";2;2;N;1;N;N;N;1;1;1;2
"Vzhodna Slovenija";"......Ki ne želijo delati";"Moški";151;155;150;158;161;160;154;157;171;162;159
