Prebivalci glede na aktivnost, po spolu in kohezijskih regijah (v 1000), Slovenija, èetrtletno;;;;;;;;;;;;;
;;;;;;;;;;;;;
KOHEZIJSKA REGIJA;PREBIVALSTVO;SPOL;2008Q1;2009Q1;2010Q1;2011Q1;2012Q1;2013Q1;2014Q1;2015Q1;2016Q1;2017Q1;2018Q1
Zahodna Slovenija;Delovno aktivni;Ženske;211;215;211;207;208;198;206;197;206;213;211
Zahodna Slovenija;Zaposleni - SKUPAJ;Ženske;194;199;188;182;189;178;181;172;183;192;187
Zahodna Slovenija;V delovnem razmerju;Ženske;176;187;173;169;174;166;169;163;171;177;174
Zahodna Slovenija;Delo prek studentskega servisa;Ženske;14;11;12;9;11;8;9;7;9;11;11
Zahodna Slovenija;Druge oblike dela;Ženske;3;2;3;3;5;3;3;2;4;3;3
Zahodna Slovenija;Samozaposleni;Ženske;10;8;15;18;14;14;17;17;17;18;19
Zahodna Slovenija;Pomagajoci druzinski clani;Ženske;7;8;9;7;5;7;8;8;6;4;5
Zahodna Slovenija;Brezposelni - SKUPAJ;Ženske;9;8;12;16;17;22;21;19;17;16;16
Zahodna Slovenija;Manj kot eno leto;Ženske;4;6;7;8;9;13;8;9;6;9;9
Zahodna Slovenija;Vec kot eno leto;Ženske;4;2;5;8;7;10;13;10;11;7;7
Zahodna Slovenija;Neaktivni;Ženske;193;195;198;200;199;205;200;205;198;192;195
Zahodna Slovenija;Ki zelijo delati, vendar dela ne iscejo;Ženske;12;10;19;11;17;13;19;17;13;10;13
Zahodna Slovenija;Ki iscejo delo, vendar ga niso pripravljeni sprejeti v dveh tednih;Ženske;N;2;1;N;1;N;N;N;N;N;N
Zahodna Slovenija;Ki ne zelijo delati;Ženske;181;183;178;187;181;192;182;187;184;182;181
