"Delovno aktivni po podroèjih dejavnosti, spolu in kohezijskih regijah, Slovenija, letno"

"KOHEZIJSKA REGIJA";"SPOL";"SKD DEJAVNOST1";"2008 Število (v 1000)";"2009 Število (v 1000)";"2010 Število (v 1000)";"2011 Število (v 1000)";"2012 Število (v 1000)";"2013 Število (v 1000)";"2014 Število (v 1000)";"2015 Število (v 1000)";"2016 Število (v 1000)";"2017 Število (v 1000)";"2018 Število (v 1000)"
"SLOVENIJA";"Spol - SKUPAJ";"Kmetijstvo in lov, gozdarstvo, ribištvo";85;89;85;80;77;77;88;64;46;53;53
"SLOVENIJA";"Spol - SKUPAJ";"Rudarstvo";4;4;4;5;4;4;3;3;3;3;3
"SLOVENIJA";"Spol - SKUPAJ";"Predelovalne dejavnosti";260;238;234;217;206;203;206;215;230;242;244
"SLOVENIJA";"Spol - SKUPAJ";"Oskrba z elektrièno energijo";10;8;7;9;9;9;11;10;8;9;9
"SLOVENIJA";"Spol - SKUPAJ";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";8;10;10;10;10;9;9;9;9;10;13
"SLOVENIJA";"Spol - SKUPAJ";"Gradbeništvo";67;63;58;54;55;54;52;53;51;53;56
"SLOVENIJA";"Spol - SKUPAJ";"Trgovina, vzdrževanje in popravila motornih vozil";119;121;117;113;111;115;110;111;117;117;121
"SLOVENIJA";"Spol - SKUPAJ";"Promet in skladišèenje";57;57;52;53;52;49;42;45;48;48;55
"SLOVENIJA";"Spol - SKUPAJ";"Gostinstvo";43;41;46;43;40;38;40;47;41;45;44
"SLOVENIJA";"Spol - SKUPAJ";"Informacijske in komunikacijske dejavnosti";29;31;32;30;27;29;31;33;31;34;33
"SLOVENIJA";"Spol - SKUPAJ";"Finanène in zavarovalniške dejavnosti";24;27;26;29;31;25;24;23;22;22;24
"SLOVENIJA";"Spol - SKUPAJ";"Poslovanje z nepremièninami";2;3;2;3;3;4;3;2;2;4;4
"SLOVENIJA";"Spol - SKUPAJ";"Strokovne, znanstvene in tehniène dejavnosti";40;41;42;42;45;42;45;42;44;45;45
"SLOVENIJA";"Spol - SKUPAJ";"Druge raznovrstne poslovne dejavnosti";22;23;21;21;22;21;23;20;23;24;24
"SLOVENIJA";"Spol - SKUPAJ";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";57;61;59;59;62;55;57;55;55;59;58
"SLOVENIJA";"Spol - SKUPAJ";"Izobraževanje";74;73;77;79;80;78;76;81;82;84;84
"SLOVENIJA";"Spol - SKUPAJ";"Zdravstvo in socialno varstvo";55;54;56;55;53;56;57;60;67;68;70
"SLOVENIJA";"Spol - SKUPAJ";"Kulturne, razvedrilne in rekreacijske dejavnosti";19;18;18;18;17;19;18;18;16;19;20
"SLOVENIJA";"Spol - SKUPAJ";"Druge dejavnosti";15;15;14;13;14;14;15;14;13;14;14
"SLOVENIJA";"Spol - SKUPAJ";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";1;N;N;1;N;N;N;N;N;N;N
"SLOVENIJA";"Spol - SKUPAJ";"Dejavnost eksteritorialnih organizacij in teles";N;N;N;N;N;N;N;N;N;N;N
"SLOVENIJA";"Spol - SKUPAJ";"Nerazvršèeno";4;5;4;5;5;4;5;11;7;6;6
