Delovno aktivno prebivalstvo po dejavnostih (SKD 2008) in statusu zaposlitve, Slovenija, letno;;;;;;;;;
;;;;;;;;;
SKD DEJAVNOST;2010 1 Delovno aktivno prebivalstvo - SKUPAJ;2011 1 Delovno aktivno prebivalstvo - SKUPAJ;2012 1 Delovno aktivno prebivalstvo - SKUPAJ;2013 1 Delovno aktivno prebivalstvo - SKUPAJ;2014 1 Delovno aktivno prebivalstvo - SKUPAJ;2015 1 Delovno aktivno prebivalstvo - SKUPAJ;2016 1 Delovno aktivno prebivalstvo - SKUPAJ;2017 1 Delovno aktivno prebivalstvo - SKUPAJ;2018 1 Delovno aktivno prebivalstvo - SKUPAJ
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO;33134;37885;37393;38353;35078;26911;22633;25123;27910
B RUDARSTVO;2925;2773;2682;2644;2533;2467;2354;2413;2371
C PREDELOVALNE DEJAVNOSTI;184096;185135;178372;176983;178578;182997;188575;198136;207378
D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO;7817;7892;7849;7950;8012;7857;7771;7828;7802
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;9045;9561;9469;9677;9359;9323;9205;9248;9660
F GRADBENIŠTVO;72090;62057;53494;52036;51874;51612;52154;55281;60282
G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL;109417;109157;106362;103753;104249;105078;107895;110631;113386
H PROMET IN SKLADIŠÈENJE;46918;46508;45452;46203;47327;48562;48746;51350;54073
I GOSTINSTVO;32461;32333;31397;30684;31589;32554;34495;35579;36981
J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;22571;22708;22987;23317;23896;24273;25502;26470;27611
K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI;24150;23785;22931;22404;21957;21771;21393;21018;20842
L POSLOVANJE Z NEPREMIÈNINAMI;4247;3990;3983;3932;4031;3962;6389;6541;6646
M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI;46952;48204;47576;49697;49567;50506;51813;53668;56053
N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;26120;26160;25342;25879;31735;33028;36220;38792;38135
O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI;51465;51192;49635;48879;48321;47959;48404;48812;48881
P IZOBRAŽEVANJE;64319;65473;65279;65649;66450;67320;69279;71293;72833
Q ZDRAVSTVO IN SOCIALNO VARSTVO;53339;54777;55331;55676;56677;58187;60829;62367;63992
R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;14042;13909;13703;13785;14250;14663;15342;15692;15975
S DRUGE DEJAVNOSTI;13354;13246;13212;13302;13916;14052;14914;15342;15687
T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO;513;566;499;520;559;562;572;617;672
U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES;-;-;-;-;-;-;-;-;-
