"Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po podroèjih dejavnosti od B do S [SKD 2008], originalni podatki, Slovenija, èetrtletno"

"MERITVE";"SKD DEJAVNOST";"2008Q1";"2009Q1";"2010Q1";"2011Q1";"2012Q1";"2013Q1";"2014Q1";"2015Q1";"2016Q1";"2017Q1";"2018Q1"
"Število prostih delovnih mest  - SKUPAJ";"B RUDARSTVO";15;8;3;13;3;2;4;1;16;19;12
"Število prostih delovnih mest  - SKUPAJ";"C PREDELOVALNE DEJAVNOSTI";1787;876;727;1188;1145;916;1715;2206;2723;3593;3620
"Število prostih delovnih mest  - SKUPAJ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";23;14;26;14;14;16;27;28;118;38;47
"Število prostih delovnih mest  - SKUPAJ";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";43;29;28;17;21;33;48;N;46;65;121
"Število prostih delovnih mest  - SKUPAJ";"F GRADBENIŠTVO";1985;1369;651;812;1439;1198;1702;2256;2401;3756;4380
"Število prostih delovnih mest  - SKUPAJ";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";1180;739;564;770;578;470;753;1646;1470;1794;2810
"Število prostih delovnih mest  - SKUPAJ";"H PROMET IN SKLADIŠÈENJE";582;321;237;311;347;299;549;550;926;1359;1506
"Število prostih delovnih mest  - SKUPAJ";"I GOSTINSTVO";550;433;281;382;337;262;556;644;1154;1280;1827
"Število prostih delovnih mest  - SKUPAJ";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";103;83;93;115;130;90;226;293;392;323;595
"Število prostih delovnih mest  - SKUPAJ";"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI";235;170;132;176;90;87;174;178;220;164;175
"Število prostih delovnih mest  - SKUPAJ";"L POSLOVANJE Z NEPREMIÈNINAMI";68;31;23;41;29;28;37;N;47;65;110
"Število prostih delovnih mest  - SKUPAJ";"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI";368;298;357;391;514;341;559;680;691;712;1152
"Število prostih delovnih mest  - SKUPAJ";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";1062;641;433;498;638;583;522;503;978;1128;1711
"Število prostih delovnih mest  - SKUPAJ";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";152;98;75;72;47;61;239;43;78;85;106
"Število prostih delovnih mest  - SKUPAJ";"P IZOBRAŽEVANJE";152;156;137;243;211;153;150;148;233;254;264
"Število prostih delovnih mest  - SKUPAJ";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";284;216;207;227;248;201;235;218;400;427;747
"Število prostih delovnih mest  - SKUPAJ";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";62;41;41;42;38;40;67;N;135;119;127
"Število prostih delovnih mest  - SKUPAJ";"S DRUGE DEJAVNOSTI";115;77;66;77;58;56;66;235;N;181;231
